City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,8.74,69,96,1.34,AU,1698174292
1,bodo,67.28,14.405,3.02,77,0,8.23,NO,1698215882
2,adamstown,-25.066,-130.1015,22.48,81,1,4.01,PN,1698155900
3,long beach,33.767,-118.1892,19.93,88,100,1.54,US,1698156282
4,asadabad,34.7824,48.1185,14.97,55,34,2.38,IR,1698202868
5,kamina,-8.7386,24.9906,19.86,87,96,1.3,CD,1698205988
6,isafjordur,66.0755,-23.124,2.67,83,100,1.79,IS,1698224499
7,nemuro,43.3236,145.575,13.8,81,9,3.78,JP,1698180158
8,college,64.8569,-147.8028,-3.03,74,75,0.0,US,1698167520
9,waitangi,-43.9535,-176.5597,12.68,96,100,2.24,NZ,1698251843
10,port mathurin,-19.6833,63.4167,24.83,79,18,6.82,MU,1698196163
11,tianchang,37.9981,114.0156,27.46,13,4,6.5,CN,1698187286
12,puerto natales,-51.7236,-72.4875,6.21,68,71,6.07,CL,1698225922
13,mangai,-4.05,19.5333,21.39,94,99,0.2,CD,1698207541
14,sao tome,0.3365,6.7273,25.42,87,100,0.98,ST,1698210838
15,afaahiti,-17.75,-149.2833,24.93,81,76,6.53,PF,1698160938
16,las tablas,7.7667,-80.2833,24.8,90,100,4.13,PA,1698232101
17,inhambane,-23.865,35.3833,24.85,84,49,7.22,MZ,1698202634
18,pont rouge,48.8833,-72.0825,9.16,91,100,4.32,CA,1698233018
19,edinburgh of the seven seas,-37.0676,-12.3116,10.99,77,73,9.6,SH,1698213117
20,nar'yan-mar,67.6713,53.087,-1.05,90,96,7.15,RU,1698206717
21,port-aux-francais,-49.35,70.2167,4.35,89,100,13.77,TF,1698192049
22,carutapera,-1.195,-46.02,25.15,80,27,3.03,BR,1698223418
23,freetown,8.484,-13.2299,24.57,88,100,4.84,SL,1698216044
24,grand falls-windsor,48.9332,-55.6649,3.61,91,39,2.97,CA,1698229080
25,georgetown,5.4112,100.3354,30.97,70,40,4.63,MY,1698188630
26,margaret river,-33.95,115.0667,24.56,37,13,5.34,AU,1698182823
27,bredasdorp,-34.5322,20.0403,15.63,70,16,1.81,ZA,1698205566
28,itoman,26.1247,127.6694,28.43,65,75,5.66,JP,1698183192
29,sosnovka,56.255,51.2842,-3.52,79,10,3.22,RU,1698204375
30,albany,42.6001,-73.9662,10.37,85,13,1.08,US,1698232827
31,selfoss,63.9331,-20.9971,6.14,80,100,4.02,IS,1698223353
32,rio de janeiro,-22.9028,-43.2075,24.98,83,75,3.6,BR,1698221546
33,olonkinbyen,70.9221,-8.7187,3.0,92,100,3.52,SJ,1698223056
34,cuamba,-14.8031,36.5372,29.22,39,5,3.37,MZ,1698202890
35,badger,64.8,-147.5333,-3.07,74,75,0.0,US,1698167439
36,grytviken,-54.2811,-36.5092,1.83,88,95,4.86,GS,1698216899
37,colonia,50.9333,6.95,10.23,91,0,3.6,DE,1698214275
38,kincardine,56.0667,-3.7167,8.84,94,71,1.69,GB,1698217565
39,crane,31.3974,-102.3501,21.59,82,0,7.54,US,1698238763
40,anadyr,64.75,177.4833,3.28,100,75,7.0,RU,1698175839
41,sinan,34.8262,126.1086,22.06,81,0,2.4,KR,1698184142
42,wailua homesteads,22.0669,-159.378,23.44,80,40,2.57,US,1698165439
43,stanley,54.868,-1.6985,8.2,96,75,4.12,GB,1698216893
44,jamestown,42.097,-79.2353,19.77,57,0,4.63,US,1698234047
45,st. john's,47.5649,-52.7093,5.64,89,40,8.23,CA,1698228216
46,marka,1.7159,44.7717,29.05,71,57,4.66,SO,1698201778
47,opuwo,-18.0607,13.84,25.32,23,7,0.73,NA,1698208151
48,challapata,-18.9,-66.7667,10.32,71,83,1.21,BO,1698227440
49,yellowknife,62.456,-114.3525,-4.77,91,16,1.79,CA,1698245426
50,ushuaia,-54.8,-68.3,4.81,60,20,1.03,AR,1698224428
51,alaghsas,17.0187,8.0168,22.94,16,84,4.63,NE,1698211396
52,west island,-12.1568,96.8225,28.99,70,69,5.14,CC,1698188571
53,juneau,58.3019,-134.4197,1.79,88,20,1.54,US,1698162828
54,alofi,-19.0595,-169.9187,22.94,64,84,5.66,NU,1698165813
55,bamboo flat,11.7,92.7167,30.05,74,75,2.06,IN,1698190781
56,chistopol',55.3631,50.6424,-1.74,70,8,4.8,RU,1698204389
57,papatowai,-46.5619,169.4708,17.6,57,100,3.5,NZ,1698168599
58,ancud,-41.8697,-73.8203,5.63,90,23,1.97,CL,1698227426
59,neijiang,29.5835,105.0622,18.78,78,100,1.31,CN,1698188838
60,pacasmayo,-7.4006,-79.5714,18.87,90,80,2.5,PE,1698231147
61,emporia,38.4039,-96.1817,21.11,88,100,6.17,US,1698237802
62,cockburn town,21.4612,-71.1419,27.95,74,33,10.43,TC,1698230648
63,keflavik,64.0049,-22.5624,6.24,81,100,5.14,IS,1698223749
64,vilyuchinsk,52.9306,158.4028,6.07,73,96,2.29,RU,1698178140
65,kourou,5.1552,-52.6478,25.03,82,59,3.88,GF,1698225334
66,jiagedaqi,50.4167,124.1167,8.84,52,94,3.28,CN,1698186058
67,saipan,15.1355,145.701,28.39,83,75,5.66,MP,1698178243
68,port macquarie,-31.4333,152.9167,23.83,69,46,4.48,AU,1698173934
69,bethel,41.3712,-73.414,12.17,82,0,0.0,US,1698232584
70,toliara,-23.35,43.6667,29.43,60,0,5.47,MG,1698200679
71,melekeok village,7.4957,134.6367,30.31,74,75,2.57,PW,1698180503
72,lihue,21.9789,-159.3672,23.77,80,40,2.57,US,1698165431
73,avarua,-21.2078,-159.775,21.03,64,75,2.57,CK,1698163254
74,katsuren-haebaru,26.3369,127.8719,28.43,60,40,6.69,JP,1698183157
